ID	Family_name	AUTOTYP_area
abau1245	sepi1257	N Coast New Guinea
abui1241	timo1261	Oceania
adze1240	aust1307	N Coast New Guinea
alam1246	sepi1257	N Coast New Guinea
ambu1247	nduu1242	N Coast New Guinea
anem1249	anem1249	N Coast New Guinea
anin1240	gunw1250	N Australia
aram1253	more1255	S New Guinea
aros1241	aust1307	Oceania
atam1239	pama1250	N Australia
band1339	pama1250	S Australia
bann1247	aust1307	Oceania
bata1293	aust1307	Southeast Asia
bauz1241	geel1240	N Coast New Guinea
biak1248	aust1307	N Coast New Guinea
bilu1245	bilu1245	Oceania
bine1240	east2503	S New Guinea
buki1249	nucl1708	N Coast New Guinea
buna1278	timo1261	Oceania
bunu1267	aust1307	Oceania
bura1267	mani1293	N Australia
buru1303	aust1307	Oceania
cebu1242	aust1307	Oceania
chek1238	aust1307	Oceania
dera1245	sena1264	N Coast New Guinea
duna1248	duna1248	Interior New Guinea
dutc1256	indo1319	Europe
east2440	aust1307	Oceania
east2563	aust1307	Southeast Asia
fiji1243	aust1307	Oceania
fore1270	nucl1709	Interior New Guinea
futu1245	aust1307	Oceania
gang1267	tang1340	N Australia
gara1269	garr1260	N Australia
gela1263	aust1307	Oceania
gizr1240	east2503	N Australia
goli1247	nucl1709	Interior New Guinea
gras1249	koia1260	S New Guinea
hali1244	aust1307	Oceania
hata1243	hata1242	N Coast New Guinea
hili1240	aust1307	Oceania
huaa1250	nucl1709	Interior New Guinea
iaai1238	aust1307	Oceania
idaa1241	aust1307	Southeast Asia
ilok1237	aust1307	Oceania
imon1245	bord1247	N Coast New Guinea
indo1316	aust1307	Southeast Asia
kair1263	aust1307	N Coast New Guinea
kala1377	pama1250	N Australia
kalu1248	bosa1245	S New Guinea
kama1367	nucl1708	N Coast New Guinea
kamo1255	nucl1709	S New Guinea
kana1288	daga1274	S New Guinea
kaul1240	aust1307	N Coast New Guinea
kaya1319	tang1340	N Australia
kele1258	aust1307	N Coast New Guinea
kelo1247	timo1261	Oceania
kili1267	aust1307	S New Guinea
kobo1249	nucl1709	Interior New Guinea
koko1269	aust1307	Oceania
kolp1236	kolp1236	N Coast New Guinea
kora1294	nucl1709	S New Guinea
koro1312	nucl1709	S New Guinea
kove1237	aust1307	N Coast New Guinea
kris1246	skoo1245	N Coast New Guinea
kuan1248	aust1307	N Coast New Guinea
kuma1276	aust1307	Oceania
kuot1243	kuot1243	N Coast New Guinea
lard1243	tang1340	N Australia
lavu1241	lavu1241	Oceania
long1395	aust1307	Oceania
mada1285	aust1307	N Coast New Guinea
mais1250	aust1307	S New Guinea
maka1311	aust1307	Oceania
mali1284	bain1263	N Coast New Guinea
mana1295	aust1307	N Coast New Guinea
mang1403	aust1307	N Coast New Guinea
maor1246	aust1307	Oceania
mara1385	mang1423	N Australia
maun1240	iwai1246	N Australia
mauw1238	nucl1709	N Coast New Guinea
mend1268	sepi1257	N Coast New Guinea
meng1267	aust1307	N Coast New Guinea
meny1245	anga1289	Interior New Guinea
mera1242	aust1307	N Coast New Guinea
meri1244	east2503	N Australia
meya1236	east1459	N Coast New Guinea
mian1256	nucl1709	N Coast New Guinea
moki1238	aust1307	Oceania
mori1268	aust1307	Oceania
motl1237	aust1307	Oceania
move1241	nucl1709	Interior New Guinea
muna1247	aust1307	Oceania
muss1246	aust1307	N Coast New Guinea
naas1242	sout2948	Oceania
naba1256	nucl1709	N Coast New Guinea
naka1262	aust1307	N Coast New Guinea
nali1244	aust1307	N Coast New Guinea
nami1256	sepi1257	N Coast New Guinea
narr1259	pama1250	S Australia
ngan1295	gunw1250	N Australia
ngge1241	nucl1709	Interior New Guinea
nort2845	aust1307	Oceania
nots1237	aust1307	N Coast New Guinea
nucl1594	mair1253	N Coast New Guinea
nucl1622	anim1240	S New Guinea
orya1242	toro1256	N Coast New Guinea
pele1245	pele1245	N Coast New Guinea
pile1238	aust1307	Oceania
puyu1239	aust1307	Oceania
qaqe1238	bain1263	N Coast New Guinea
ramo1244	aust1307	N Coast New Guinea
rawa1267	nucl1709	N Coast New Guinea
renn1242	aust1307	Oceania
rita1239	pama1250	N Australia
roto1249	nort2933	Oceania
rotu1241	aust1307	Oceania
rovi1238	aust1307	Oceania
salt1242	nucl1709	Interior New Guinea
samo1305	aust1307	Oceania
sapo1253	aust1307	Oceania
savo1255	savo1255	Oceania
sele1250	nucl1709	N Coast New Guinea
siar1238	aust1307	N Coast New Guinea
siee1239	aust1307	Oceania
siro1249	nucl1709	N Coast New Guinea
sisi1250	aust1307	Oceania
siwa1245	sout2948	Oceania
sout2856	aust1307	Oceania
sout2918	aust1307	Southeast Asia
sout2949	kiwa1251	S New Guinea
suab1238	inan1242	N Coast New Guinea
sude1239	aust1307	S New Guinea
suen1241	nucl1709	S New Guinea
sulk1246	sulk1246	N Coast New Guinea
surs1246	aust1307	N Coast New Guinea
taga1270	aust1307	Oceania
tain1253	anga1289	S New Guinea
taki1248	aust1307	N Coast New Guinea
tauy1241	nucl1709	Interior New Guinea
tawa1275	aust1307	S New Guinea
tean1237	aust1307	Oceania
tele1256	nucl1709	Interior New Guinea
tere1278	sout2948	Oceania
tetu1245	aust1307	Oceania
thay1249	pama1250	N Australia
tido1248	nort2923	Oceania
tiga1245	aust1307	N Coast New Guinea
tiwi1244	tiwi1244	N Australia
tobe1252	nort2923	Oceania
touo1238	touo1238	Oceania
tung1290	aust1307	N Coast New Guinea
ulit1238	aust1307	Oceania
uman1240	daga1274	S New Guinea
unaa1239	nucl1709	Interior New Guinea
unea1237	aust1307	N Coast New Guinea
usan1239	nucl1709	N Coast New Guinea
wamb1259	nucl1709	S New Guinea
warl1256	pama1250	S Australia
wask1241	nucl1709	N Coast New Guinea
west2599	nucl1709	Interior New Guinea
wuvu1239	aust1307	N Coast New Guinea
xara1244	aust1307	Oceania
yabe1254	aust1307	N Coast New Guinea
yany1243	pama1250	N Australia
yape1248	aust1307	Oceania
yele1255	yele1255	S New Guinea
yess1239	sepi1257	N Coast New Guinea
yima1243	lowe1437	N Coast New Guinea
